success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76011, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.239
success, Germany, DE, BY, Bavaria, Gunzenhausen, 91710, 49.1156, 10.7511, Europe/Berlin, Hetzner Online GmbH, Hetzner, AS24940 Hetzner Online GmbH, 23.88.115.130
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 32, Kyiv Oblast, Kaharlyk, 09201, 49.8639, 30.8339, Europe/Kyiv, Ukrainian Telecommunication Group LLC, Ukrainian Telecommunication Group LLC, AS50581 Ukrainian Telecommunication Group LLC, 31.43.62.35
success, Ukraine, UA, 46, Lviv Oblast, Lviv, 79034, 49.839, 24.0191, Europe/Kyiv, "PC ""Astra-net""", "PC ""Astra-net""", "AS49824 PC ""Astra-net""", 91.245.79.60
success, Ukraine, UA, 30, Kyiv City, Kyiv, 01011, 50.458, 30.5303, Europe/Kyiv, PE Ivanov Vitaliy Sergeevich, Proline IT Ltd, AS48031 PE Ivanov Vitaliy Sergeevich, 217.198.181.91
success, Ukraine, UA, 30, Kyiv City, Kyiv, 01011, 50.458, 30.5303, Europe/Kyiv, PE Ivanov Vitaliy Sergeevich, Proline IT Ltd, AS48031 PE Ivanov Vitaliy Sergeevich, 217.198.181.91
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 30, Kyiv City, Kyiv, 01011, 50.458, 30.5303, Europe/Kyiv, PE Ivanov Vitaliy Sergeevich, Proline IT Ltd, AS48031 PE Ivanov Vitaliy Sergeevich, 194.107.92.124
success, Ukraine, UA, 30, Kyiv City, Kyiv, 01011, 50.458, 30.5303, Europe/Kyiv, PE Ivanov Vitaliy Sergeevich, Proline IT Ltd, AS48031 PE Ivanov Vitaliy Sergeevich, 217.198.181.91
success, Kazakhstan, KZ, AST, Astana, Astana, , 51.1879, 71.4332, Asia/Almaty, Tele2 AB, Mobile Services, AS48503 Mobile Telecom-Service LLP, 212.96.71.52
success, Kazakhstan, KZ, MAN, Mangistauskaya Oblast', Aktau, , 43.6422, 51.1668, Asia/Aqtau, Kcell JSC, """KCell"" JSC", AS29355 Kcell JSC, 2.79.113.81
success, Kazakhstan, KZ, VOS, East Kazakhstan, Ust-Kamenogorsk, , 49.9713, 82.6103, Asia/Almaty, Kar-Tel LLC, Kartel Gprs, AS206026 Kar-Tel LLC, 89.43.21.100
success, Kazakhstan, KZ, ATY, Atyrau Oblysy, Atyrau, , 47.1169, 51.8853, Asia/Atyrau, Customers 2DayTelecom, , AS21299 Kar-Tel LLC, 145.249.205.89
success, Ukraine, UA, 46, Lviv Oblast, Lviv, 79034, 49.839, 24.0191, Europe/Kyiv, "PC ""Astra-net""", "PC ""Astra-net""", "AS49824 PC ""Astra-net""", 91.245.79.60
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 32, Kyiv Oblast, Kaharlyk, 09201, 49.8639, 30.8339, Europe/Kyiv, Ukrainian Telecommunication Group LLC, Ukrainian Telecommunication Group LLC, AS50581 Ukrainian Telecommunication Group LLC, 31.43.62.35
success, Ukraine, UA, 26, Ivano-Frankivsk Oblast, Ivano-Frankivsk, 76018, 48.9171, 24.7158, Europe/Kyiv, FOP Polischuk, SF NetGroup-Service, AS212463 FOP Polischyk O.V, 95.47.59.250
success, Ukraine, UA, 30, Kyiv City, Kyiv, 04210, 50.458, 30.5303, Europe/Kyiv, IPNETUA, , AS25521 PJSC Industrial Media Network, 82.193.120.97
